question_id,norm_code,norm_title,title,chapter,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,editorial_audit_status,editorial_rule_version,review_status,source_version,source_url,source_retrieved_at
EACV-TIII-001,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,1,2,composición_institucional,seleccionar_correcta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué constituye la Generalitat?",El conjunto de las instituciones de autogobierno de la Comunitat Valenciana.,El conjunto de las entidades locales valencianas.,Las instituciones estatales radicadas en Valencia.,Solo Les Corts y el Consell.,A,El artículo 20.1 establece: «el conjunto de las instituciones de autogobierno».,El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye la Generalitat.,pregunta_directa_con_sustitución_controlada,5,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-002,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,1,3,literal_con_hueco,seleccionar_correcta,La Generalitat está constituida por:,Solo Les Corts y el Consell.,El conjunto de las instituciones de autogobierno de la Comunitat Valenciana.,Las instituciones estatales radicadas en Valencia.,El conjunto de las entidades locales valencianas.,B,La formulación correcta se apoya en el inciso: «el conjunto de las instituciones de autogobierno».,El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye la Generalitat.,recuperación_literal_o_conceptual,5,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-003,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",La Generalitat está constituida por el conjunto de las instituciones de autogobierno de la Comunitat Valenciana.,"Les Corts, el President y el Consell forman parte de la Generalitat.",La Generalitat está constituida únicamente por las entidades locales valencianas.,La Sindicatura de Comptes es también una institución de la Generalitat.,C,La opción incorrecta altera la regla «el conjunto de las instituciones de autogobierno».,El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye la Generalitat.,tres_afirmaciones_completas_válidas_y_una_alterada,6,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-004,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 20 del Estatuto se establece que la Generalitat está constituida por el conjunto de las instituciones de autogobierno de la Comunitat Valenciana?,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 20, apartado 1.",El conjunto de las instituciones de autogobierno de la Comunitat Valenciana constituye la Generalitat.,localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-005,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,2,2,pertenencia_lista,seleccionar_correcta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué instituciones forman el núcleo de la Generalitat?","Les Corts, el President y el Consell.","El Rey, Les Corts y el Tribunal Superior de Justicia.",Las Diputaciones Provinciales y el Consell.,"El Congreso, el Senado y el President.",A,"El artículo 20.2 establece: «les Corts Valencianes o les Corts, el President y el Consell».","Forman parte de la Generalitat les Corts Valencianes o les Corts, el President y el Consell.",pregunta_directa_con_sustitución_controlada,4,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-006,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,2,3,literal_con_hueco,seleccionar_correcta,Forman parte de la Generalitat:,"El Congreso, el Senado y el President.","Les Corts, el President y el Consell.",Las Diputaciones Provinciales y el Consell.,"El Rey, Les Corts y el Tribunal Superior de Justicia.",B,"La formulación correcta se apoya en el inciso: «les Corts Valencianes o les Corts, el President y el Consell».","Forman parte de la Generalitat les Corts Valencianes o les Corts, el President y el Consell.",recuperación_literal_o_conceptual,4,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-007,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,2,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:","Les Corts, el President y el Consell forman parte de la Generalitat.",La Sindicatura de Comptes es también una institución de la Generalitat.,"El Congreso, el Senado y el President forman parte de la Generalitat.",L'Acadèmia Valenciana de la Llengua es una institución de la Generalitat.,C,"La opción incorrecta altera la regla «les Corts Valencianes o les Corts, el President y el Consell».","Forman parte de la Generalitat les Corts Valencianes o les Corts, el President y el Consell.",tres_afirmaciones_completas_válidas_y_una_alterada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-008,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,2,3,localización_normativa,seleccionar_correcta,"¿En qué apartado del artículo 20 del Estatuto se establece que les Corts, el President y el Consell forman parte de la Generalitat?",Apartado 1.,Apartado 3.,Apartado 4.,Apartado 2.,D,"La regla se encuentra en el artículo 20, apartado 2.","Forman parte de la Generalitat les Corts Valencianes o les Corts, el President y el Consell.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-009,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,2,pertenencia_lista,seleccionar_correcta,"Según el artículo 20 del Estatuto de Autonomía de la Comunitat Valenciana, ¿cuál de estas es también una institución de la Generalitat?",La Sindicatura de Comptes.,La Audiencia Nacional.,El Consejo de Estado.,La Junta Electoral Central.,A,El artículo 20.3 establece: «la Sindicatura de Comptes».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIII-010,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO III. La Generalitat,Capítulo I,20,3,3,literal_con_hueco,seleccionar_correcta,Entre las instituciones del artículo 20.3 se encuentra:,La Junta Electoral Central.,La Sindicatura de Comptes.,El Consejo de Estado.,La Audiencia Nacional.,B,La formulación correcta se apoya en el inciso: «la Sindicatura de Comptes».,"Son también instituciones de la Generalitat la Sindicatura de Comptes, el Síndic de Greuges, el Consell Valencià de Cultura, l'Acadèmia Valenciana de la Llengua, el Consell Jurídic Consultiu y el Comité Econòmic i Social.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización publicada el 28/12/2022; Título III vigente desde el 11/04/2006; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
