question_id,generation_version,article,paragraph,article_title,chapter,section,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,false_basis,pattern,option_length_gap,quality_score,quality_flags,self_contained,syntactic_parallelism,verification_status,review_status,source_version,source_url,source_retrieved_at
LO3IGUALDAD-01-752df6bd4b3c25,v1-densidad-25-editorial-contextual,1,,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,1,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres se regula «Objeto de la Ley»?",La materia se regula en el artículo 1 de la Ley Orgánica 3/2007.,La materia se regula en el artículo 2 de la Ley Orgánica 3/2007.,La materia se regula en el artículo 3 de la Ley Orgánica 3/2007.,La materia se regula en el artículo 4 de la Ley Orgánica 3/2007.,A,«Objeto de la Ley» es la rúbrica del artículo 1.,Artículo 1. Objeto de la Ley.,,localización_de_artículo,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-a4a6a42a5836b3,v1-densidad-25-editorial-contextual,1,,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,1,denominación_del_artículo,seleccionar_correcta,"Según la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, ¿cuál es la denominación correcta del artículo 1?",El artículo 1 de la Ley Orgánica 3/2007 se denomina «Discriminación directa e indirecta».,El artículo 1 de la Ley Orgánica 3/2007 se denomina «Objeto de la Ley».,El artículo 1 de la Ley Orgánica 3/2007 se denomina «Indemnidad frente a represalias».,El artículo 1 de la Ley Orgánica 3/2007 se denomina «Ámbito de aplicación».,B,El artículo 1 se denomina «Objeto de la Ley».,Artículo 1. Objeto de la Ley.,,identificación_de_rúbrica,1,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-e62adc70d1555d,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, sobre «Objeto de la Ley», ¿qué afirmación se ajusta al precepto?",El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes. La aplicación de esta regla queda limitada a las personas de nacionalidad española».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes. El cumplimiento de esta previsión tiene carácter voluntario para su destinatario».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes. La regla solo puede aplicarse después de una autorización judicial previa».,C,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes.».,Las mujeres y los hombres son iguales en dignidad humana y en derechos y deberes.,,una_previsión_correcta_y_tres_mutaciones_controladas,13,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-33b2b5570345f1,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"Atendiendo al tenor del artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, que regula «Objeto de la Ley», seleccione la opción correcta:",El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres. La regla solo puede aplicarse después de una autorización judicial previa».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres. La norma permite excluir esta previsión mediante pacto entre las partes».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres. Esta previsión queda limitada exclusivamente al ámbito de las relaciones laborales».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres».,D,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres.».,La Ley tiene por objeto hacer efectivo el derecho de igualdad de trato y de oportunidades entre mujeres y hombres.,,una_previsión_correcta_y_tres_mutaciones_controladas,11,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-28bc6b270bd479,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,literal_con_hueco,seleccionar_correcta,"¿Qué redacción se corresponde con una previsión del artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, relativo a «Objeto de la Ley»?","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición. Esta previsión queda limitada exclusivamente al ámbito de las relaciones laborales».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición. Esta previsión se aplica únicamente a las Administraciones públicas».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición. La aplicación de esta regla queda limitada a las personas de nacionalidad española».",A,"La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición.».","La Ley persigue eliminar la discriminación de la mujer, cualquiera que sea su circunstancia o condición.",,una_previsión_correcta_y_tres_mutaciones_controladas,13,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-1cf437e33c0032,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"¿Cuál de las siguientes afirmaciones reproduce correctamente el artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, dedicado a «Objeto de la Ley»?",El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida. La norma permite excluir esta previsión mediante pacto entre las partes».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida. Esta previsión queda limitada exclusivamente al ámbito de las relaciones laborales».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida. Esta previsión se aplica únicamente a las Administraciones públicas».,B,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida.».,La igualdad efectiva se proyecta sobre cualesquiera ámbitos de la vida.,,una_previsión_correcta_y_tres_mutaciones_controladas,11,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-2791c4416f5857,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"Conforme a la regulación de «Objeto de la Ley» contenida en el artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, indique la opción correcta:","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural. La regla solo puede aplicarse después de una autorización judicial previa».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural. La norma permite excluir esta previsión mediante pacto entre las partes».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural. Esta previsión queda limitada exclusivamente al ámbito de las relaciones laborales».",C,"La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural.».","La Ley menciona singularmente las esferas política, civil, laboral, económica, social y cultural.",,una_previsión_correcta_y_tres_mutaciones_controladas,11,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-475b651f3fa848,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,literal_con_hueco,seleccionar_correcta,"Para completar correctamente una regla del artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, sobre «Objeto de la Ley», debe elegirse:",El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «El objeto de la Ley se desarrolla en conexión con los artículos 14.2 y 14 de la Constitución».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «El objeto de la Ley se desarrolla en conexión con los artículos 9.3 y 14 de la Constitución».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «El objeto de la Ley se desarrolla en conexión con los artículos 9.4 y 14 de la Constitución».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «El objeto de la Ley se desarrolla en conexión con los artículos 9.2 y 14 de la Constitución».,D,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «El objeto de la Ley se desarrolla en conexión con los artículos 9.2 y 14 de la Constitución.».,El objeto de la Ley se desarrolla en conexión con los artículos 9.2 y 14 de la Constitución.,,una_previsión_correcta_y_tres_mutaciones_controladas,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-5c9566ee0395ac,v1-densidad-25-editorial-contextual,1,1.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"El artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres regula «Objeto de la Ley». ¿Cuál de estas afirmaciones coincide con su contenido?","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria. La aplicación de esta regla queda limitada a las personas de nacionalidad española».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria. El cumplimiento de esta previsión tiene carácter voluntario para su destinatario».","El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria. La regla solo puede aplicarse después de una autorización judicial previa».",A,"La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria.».","La finalidad última declarada es alcanzar una sociedad más democrática, más justa y más solidaria.",,una_previsión_correcta_y_tres_mutaciones_controladas,13,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
LO3IGUALDAD-01-1fce1f88905618,v1-densidad-25-editorial-contextual,1,2.,Objeto de la Ley.,Título preliminar. Objeto y ámbito de la Ley,,2,identificación_del_precepto,seleccionar_correcta,"Según el artículo 1 de la Ley Orgánica 3/2007, de 22 de marzo, para la igualdad efectiva de mujeres y hombres, relativo a «Objeto de la Ley», señale la afirmación correcta:",El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley establece principios de actuación de los tribunales exclusivamente».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley establece principios de actuación de los Poderes Públicos».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley establece principios de actuación de los organizaciones sindicales exclusivamente».,El artículo 1 de la Ley Orgánica 3/2007 contiene la siguiente previsión: «La Ley establece principios de actuación de los personas trabajadoras exclusivamente».,B,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La Ley establece principios de actuación de los Poderes Públicos.».,La Ley establece principios de actuación de los Poderes Públicos.,,una_previsión_correcta_y_tres_mutaciones_controladas,1,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2007-6115,2026-07-14
