question_id,article,paragraph,title,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-TV-108-001,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,literal_con_hueco,seleccionar_correcta,"Según el artículo 108 de la Constitución Española, ¿cómo responde el Gobierno en su gestión política?",Solidariamente.,Individualmente.,Subsidiariamente.,Mancomunadamente.,A,El artículo 108 establece: «responde solidariamente».,responde solidariamente,pregunta_directa_con_sustitución_controlada,0,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-108-002,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,Complete el artículo 108: «El Gobierno responde...»,Mancomunadamente.,Solidariamente.,Subsidiariamente.,Individualmente.,B,La formulación correcta se apoya en: «responde solidariamente».,responde solidariamente,recuperación_literal_o_paramétrica,0,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-108-003,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 108 de la Constitución Española, señale la afirmación INCORRECTA:",La responsabilidad solidaria del Gobierno se refiere a su gestión política.,El Gobierno responde ante el Congreso de los Diputados.,El Gobierno responde individualmente en su gestión política.,El Gobierno responde solidariamente en su gestión política.,C,La opción incorrecta altera la regla «responde solidariamente».,responde solidariamente,tres_reglas_válidas_y_una_alterada,10,98,brecha_longitud_media,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-108-004,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que el Gobierno responde solidariamente en su gestión política.,Artículo 109.,Artículo 110.,Artículo 111.,Artículo 108.,D,La regla pertenece al artículo 108.,responde solidariamente,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-108-005,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,finalidad_objetivo,seleccionar_correcta,"Según el artículo 108 de la Constitución Española, ¿sobre qué ámbito responde el Gobierno ante el Congreso de los Diputados?",Su gestión política.,Su gestión administrativa.,La actividad legislativa de las Cortes.,La actuación jurisdiccional del Estado.,A,El artículo 108 establece: «en su gestión política».,en su gestión política,pregunta_directa_con_sustitución_controlada,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-108-006,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,La responsabilidad prevista en el artículo 108 se refiere a:,La actuación jurisdiccional del Estado.,Su gestión política.,La actividad legislativa de las Cortes.,Su gestión administrativa.,B,La formulación correcta se apoya en: «en su gestión política».,en su gestión política,recuperación_literal_o_paramétrica,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-108-007,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 108 de la Constitución Española, señale la afirmación INCORRECTA:",El Gobierno responde ante el Congreso de los Diputados.,El Gobierno responde solidariamente en su gestión política.,El Gobierno responde solidariamente ante el Congreso por su gestión administrativa.,La responsabilidad solidaria del Gobierno se refiere a su gestión política.,C,La opción incorrecta altera la regla «en su gestión política».,en su gestión política,tres_reglas_válidas_y_una_alterada,8,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,afirmación_completa_y_paralela,
CE-TV-108-008,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Constitución Española se establece que la responsabilidad solidaria del Gobierno se refiere a su gestión política.,Artículo 109.,Artículo 110.,Artículo 111.,Artículo 108.,D,La regla pertenece al artículo 108.,en su gestión política,localización_de_precepto,0,99,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TV-108-009,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,2,sujeto_órgano,seleccionar_correcta,"Según el artículo 108 de la Constitución Española, ¿ante qué órgano responde solidariamente el Gobierno en su gestión política?",El Congreso de los Diputados.,Las Cortes Generales en sesión conjunta.,El Senado.,El Rey.,A,El artículo 108 establece: «ante el Congreso de los Diputados».,ante el Congreso de los Diputados,pregunta_directa_con_sustitución_controlada,4,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,minúscula_interrogativa_interna,
CE-TV-108-010,108,único,TÍTULO V. De las relaciones entre el Gobierno y las Cortes Generales,3,literal_con_hueco,seleccionar_correcta,El artículo 108 sitúa la responsabilidad política del Gobierno ante:,El Rey.,El Congreso de los Diputados.,El Senado.,Las Cortes Generales en sesión conjunta.,B,La formulación correcta se apoya en: «ante el Congreso de los Diputados».,ante el Congreso de los Diputados,recuperación_literal_o_paramétrica,4,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado actualizado a 20 de mayo de 2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
