question_id,norm_code,norm_title,block,scope,chapter,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,editorial_audit_status,verification_status,review_status,source_version,source_url,source_pdf_url,source_retrieved_at
L5C-B-27-0001,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,27,único,3,identificación_del_precepto,seleccionar_correcta,"Según el artículo 27 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",Los Secretarios autonómicos llevan a cabo las siguientes funciones ejecutivas: Resolver los recursos que se interpongan contra las Resoluciones de los Centros Directivos que estén bajo su dependencia y cuyos actos no agoten la vía administrativa.,"Son funciones de los Directores generales: Disponer cuanto concierne al régimen interno de los servicios de su dirección y resolver los respectivos expedientes, cuando no sea facultad privativa del Conseller, Secretario autonómico o Subsecretario.","La responsabilidad penal y civil del President de la Generalitat y de los miembros del Consell se exigirá ante el Tribunal Superior de Justícia de la Comunitat Valenciana o, en su caso, ante el Tribunal Supremo.",A,"La opción correcta reproduce una regla del artículo 27: «La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.».","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,2,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-27-0002,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,27,único,4,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 27, apartado único?","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Secretario autonómico, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Subsecretario, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Director general, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",B,"La formulación correcta mantiene los elementos del texto legal: «La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.».","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",órgano_plazo_mayoría_o_modalidad_alterados,1,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-27-0003,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,27,único,3,afirmación_incorrecta,seleccionar_incorrecta,"De acuerdo con TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers, señale la afirmación INCORRECTA:","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Disponer los gastos propios de los servicios de su Conselleria dentro de los límites legales y presupuestarios y la ordenación de pagos correspondientes.","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Ejercer la potestad reglamentaria en las materias propias de su Conselleria, en forma de Órdenes de la Conselleria.","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Secretario autonómico, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Resolver los conflictos de atribuciones que surjan entre distintos órganos y autoridades de su Conselleria.",C,"La afirmación incorrecta modifica una regla del artículo 27. El texto correcto es: «La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.».","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",tres_afirmaciones_verdaderas_y_una_regla_alterada,8,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-27-0004,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,27,único,3,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley 5/1983 se establece la siguiente regla? «La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.»",La regla figura en el artículo 28 de la Ley 5/1983.,La regla figura en el artículo 29 de la Ley 5/1983.,La regla figura en el artículo 30 de la Ley 5/1983.,La regla figura en el artículo 27 de la Ley 5/1983.,D,"La regla se encuentra en el artículo 27, apartado único.","La Administración de la Generalitat Valenciana se organiza en Consellerías o Departamentos, al frente de los cuales habrá un Conseller, miembro del Consell con funciones ejecutivas, sin perjuicio de lo dispuesto en el artículo 12.2.",localización_de_artículo,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0005,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,a,2,identificación_del_precepto,seleccionar_correcta,"Según el artículo 28 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.","El nivel directivo lo integran los Subsecretarios, Directores generales y demás altos cargos que ostenten el rango de Director general.","Territorialmente, la organización de las Consellerias se estructura en servicios centrales, regulados en el capítulo anterior, y en servicios periféricos.",Los Consellers están sometidos al régimen de incompatibilidades que el artículo 6 establece para el President de la Generalitat.,A,"La opción correcta reproduce una regla del artículo 28: «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.».","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.",una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,1,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0006,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,a,3,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 28, apartado a?","Los Consellers, como miembros del Consell y Jefes de Departamento, no tienen las siguientes funciones: Asistir a las reuniones del Consell.","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.","La Ley 5/1983 no dispone que los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.",La competencia indicada corresponde exclusivamente a un órgano distinto del mencionado.,B,"La formulación correcta mantiene los elementos del texto legal: «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.».","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.",órgano_plazo_mayoría_o_modalidad_alterados,15,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0007,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,a,3,afirmación_incorrecta,seleccionar_incorrecta,"De acuerdo con TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers, señale la afirmación INCORRECTA:","El nivel directivo lo integran los Subsecretarios, Directores generales y demás altos cargos que ostenten el rango de Director general.","Territorialmente, la organización de las Consellerias se estructura en servicios centrales, regulados en el capítulo anterior, y en servicios periféricos.","Los Consellers, como miembros del Consell y Jefes de Departamento, no tienen las siguientes funciones: Asistir a las reuniones del Consell.",Los Consellers están sometidos al régimen de incompatibilidades que el artículo 6 establece para el President de la Generalitat.,C,"La afirmación incorrecta modifica una regla del artículo 28. El texto correcto es: «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.».","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.",tres_afirmaciones_verdaderas_y_una_regla_alterada,2,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0008,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,a,3,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley 5/1983 se establece la siguiente regla? «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.»",La regla figura en el artículo 27 de la Ley 5/1983.,La regla figura en el artículo 29 de la Ley 5/1983.,La regla figura en el artículo 30 de la Ley 5/1983.,La regla figura en el artículo 28 de la Ley 5/1983.,D,"La regla se encuentra en el artículo 28, apartado a.","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Asistir a las reuniones del Consell.",localización_de_artículo,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0009,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,b,3,identificación_del_precepto,seleccionar_correcta,"Según el artículo 28 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.","Los Consellers cesan en sus funciones: Por cese del President de la Generalitat, si bien continuarán en sus funciones hasta la toma de posesión del nuevo Consell.","Son funciones de la Secretaría General Administrativa prestar apoyo directo al titular de la Subsecretaría, y bajo su autoridad atender todos los servicios generales del Departamento.","Los servicios periféricos tienen competencia sólo en su propio ámbito territorial, en los términos establecidos en los artículos 65 y 66 del Estatut d’Autonomia de la Comunitat Valenciana.",A,"La opción correcta reproduce una regla del artículo 28: «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.».","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.",una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,2,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-B-28-0010,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque B — Consellerias, Administración Pública y responsabilidad","Título II, capítulos IV y V; Títulos IV y V",TÍTULO II · CAPÍTULO IV · De la Conselleria y de los Consellers,28,b,4,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 28, apartado b?","Los Consellers, como miembros del Consell y Jefes de Departamento, no tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.","La Ley 5/1983 no dispone que los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.",La competencia indicada corresponde exclusivamente a un órgano distinto del mencionado.,B,"La formulación correcta mantiene los elementos del texto legal: «Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.».","Los Consellers, como miembros del Consell y Jefes de Departamento, tienen las siguientes funciones: Proponer al Consell el nombramiento y cese de altos cargos de su Departamento.",órgano_plazo_mayoría_o_modalidad_alterados,22,97,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
