question_id,generation_version,article,paragraph,article_title,title,chapter,section,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,false_basis,pattern,option_length_gap,quality_score,quality_flags,self_contained,syntactic_parallelism,verification_status,review_status,source_version,source_url,source_retrieved_at
L4FPV-001-752df6bd4b3c25,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,1,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana se regula «Objeto»?",La materia se regula en el artículo 1 de la Ley 4/2021.,La materia se regula en el artículo 2 de la Ley 4/2021.,La materia se regula en el artículo 3 de la Ley 4/2021.,La materia se regula en el artículo 4 de la Ley 4/2021.,A,«Objeto» es la rúbrica del artículo 1.,Artículo 1. Objeto.,,localización_de_artículo,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-a4a6a42a5836b3,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,1,denominación_del_artículo,seleccionar_correcta,"Según la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, ¿cuál es la denominación correcta del artículo 1?",El artículo 1 de la Ley 4/2021 se denomina «Principios informadores».,El artículo 1 de la Ley 4/2021 se denomina «Objeto».,El artículo 1 de la Ley 4/2021 se denomina «Ámbito subjetivo de aplicación».,El artículo 1 de la Ley 4/2021 se denomina «Personal con legislación específica».,B,El artículo 1 se denomina «Objeto».,Artículo 1. Objeto.,,identificación_de_rúbrica,3,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-d7c8cef77d179c,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, sobre «Objeto», señale la afirmación correcta:","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente orden de servicio es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente instrucción interna es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «Los puestos de trabajo reservados al procedimiento de nombramiento de personal directivo público profesional serán objeto de convocatoria pública, especificándose en la misma las características y competencias profesionales exigidas para su provisión, conforme a lo establecido en la relación de puestos de trabajo prevista en el artículo 24 de esta ley, así como los criterios de idoneidad en función de los cuales se realizará la selección de la persona adecuada».",C,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,7,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-aa785230834a06,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,identificación_del_precepto,seleccionar_correcta,"Conforme al artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, que regula «Objeto», ¿qué afirmación coincide con su contenido?","El artículo 1 de la Ley 4/2021 dispone: «Los puestos de trabajo que integran la Dirección Pública Profesional deberán estar expresamente establecidos en la norma organizativa de la presidencia de la Generalitat, conselleria u organismo a la que estén adscritos y se incluirán en una relación de puestos de trabajo específica, diferenciada de la relación que incluya la totalidad de puestos de trabajo de naturaleza funcionarial, laboral y eventual, y que de acuerdo con lo previsto en la legislación básica de empleo público, no será materia obligatoria de negociación colectiva».","El artículo 1 de la Ley 4/2021 dispone: «A los efectos de lo dispuesto en esta ley, en la Administración de la Generalitat, se entenderá por puestos correspondientes a la categoría de entrada aquellos que tengan asignado el menor nivel de complemento competencial del puesto de trabajo dentro del intervalo de niveles en que estén clasificados los puestos del cuerpo, escala, agrupación profesional funcionarial o agrupación de puestos de trabajo de que se trate».","El artículo 1 de la Ley 4/2021 dispone: «La selección del personal laboral temporal será objeto de regulación reglamentaria y se efectuará preferentemente mediante la constitución de bolsas de empleo vinculadas al desarrollo de las ofertas de empleo público, en las que solo podrán inscribirse quienes hayan aprobado al menos alguna de las pruebas del proceso selectivo, y cuya gestión corresponderá a la Dirección General que ostente las competencias en materia de función pública».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».",D,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,16,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-93aad032f0485c,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,literal_con_hueco,seleccionar_correcta,"Según el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, sobre «Objeto», seleccione la redacción que se ajusta al precepto:","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «La selección, que será objeto de regulación reglamentaria y tendrá por finalidad la cobertura inmediata del puesto, deberá realizarse mediante procedimientos ágiles que respetarán los principios de igualdad, mérito, capacidad y publicidad, a través de la constitución de bolsas de trabajo vinculadas al desarrollo de las ofertas de empleo público en las que solo podrán inscribirse quienes hayan aprobado al menos alguna de las pruebas del proceso selectivo, y cuya gestión corresponderá a la Dirección General que ostente las competencias en materia de función pública».","El artículo 1 de la Ley 4/2021 dispone: «Las administraciones de las entidades locales de la Comunitat Valenciana, así como los consorcios adscritos a las mismas, los organismos autónomos locales y las entidades públicas empresariales locales, con respeto a lo establecido en sus respectivos estatutos y en la normativa sectorial autonómica, en aquellos aspectos no reservados a la legislación del Estado, con las especificidades previstas en la disposición adicional décima de esta ley».","El artículo 1 de la Ley 4/2021 dispone: «El personal docente no universitario y el personal estatutario que desempeñe su función en los centros e instituciones sanitarias del servicio valenciano de salud se regirá por lo dispuesto en su normativa específica y, subsidiariamente, en aquellas materias no reguladas en dicha normativa, por la presente ley, a excepción de los artículos relativos a las retribuciones complementarias, la movilidad interadministrativa y la promoción profesional».",A,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,21,98,brecha_longitud_media,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-6fd18257623439,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,identificación_del_precepto,seleccionar_correcta,"En relación con «Objeto», regulado en el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, ¿qué regla aparece expresamente en el precepto?","El artículo 1 de la Ley 4/2021 dispone: «Sin perjuicio de lo dispuesto en el artículo 8.2 de la presente ley, corresponderá a la conselleria competente en materia de función pública, además de la gestión de las personas y puestos de trabajo de la Administración de la Generalitat, la de las personas y puestos de trabajo incluidos en el apartado anterior con la salvedad prevista en el apartado a del mismo».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «Los puestos de trabajo que integran la Dirección Pública Profesional de las administraciones públicas incluidas en el ámbito de aplicación de esta ley podrán ser provistos bien por su propio personal funcionario de carrera o laboral fijo, bien por personal ajeno a las mismas, debiendo definirse tal circunstancia en los respectivos instrumentos de ordenación de los puestos de trabajo de naturaleza directiva».","El artículo 1 de la Ley 4/2021 dispone: «En todo caso, los órganos de selección de las bolsas de personal laboral temporal se regularán por lo dispuesto en el artículo 67, sin perjuicio de que las organizaciones sindicales representativas en el ámbito correspondiente deban recibir puntual información sobre la gestión de las bolsas y participar en la negociación de los criterios objetivos por los que han de regirse».",B,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,15,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-93e91ae432a4e5,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,identificación_del_precepto,seleccionar_correcta,"Según la regulación contenida en el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana sobre «Objeto», seleccione la formulación correcta:","El artículo 1 de la Ley 4/2021 dispone: «En todo caso, los órganos de selección de las bolsas de personal interino se regularán por lo dispuesto en el artículo 67, sin perjuicio de que las organizaciones sindicales representativas en el ámbito correspondiente deban recibir puntual información sobre la gestión de las bolsas y participar en la negociación de los criterios objetivos por los que han de regirse».","El artículo 1 de la Ley 4/2021 dispone: «El personal funcionario de carrera desempeñará las funciones que se atribuyen a los puestos clasificados con dicha naturaleza según el título IV de la presente ley y, en todo caso, y con carácter exclusivo, aquellas cuyo ejercicio implique la participación directa o indirecta en el ejercicio de las potestades públicas o en la salvaguardia de los intereses generales».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, esta previsión exige siempre autorización judicial previa».",C,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,25,98,brecha_longitud_media,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-27aa1a5133188a,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,literal_con_hueco,seleccionar_correcta,"Conforme al artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, relativo a «Objeto», ¿qué formulación completa correctamente una de sus previsiones?","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, esta regla solo se aplica al personal eventual».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, esta competencia corresponde exclusivamente a Les Corts».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, su aplicación tiene carácter meramente facultativo para la Administración».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».",D,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,10,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-f90bb7a2c3ab0c,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,3,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, sobre «Objeto», señale la afirmación correcta:","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, requiere la conformidad de todas las organizaciones sindicales».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, queda excluida cuando el procedimiento se inicia de oficio».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, únicamente puede aplicarse mediante actuación presencial».",A,"La opción correcta reproduce la previsión del artículo 1: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.",,una_previsión_literal_y_tres_mutaciones_controladas,10,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
L4FPV-001-bc880cd07de505,v1-densidad-25-editorial-contextual,1,,Objeto.,"Título I. Objeto, principios y ámbito de aplicación de la ley",,,4,afirmación_incorrecta,seleccionar_incorrecta,"En relación con el artículo 1 de la Ley 4/2021, de 16 de abril, de la Función Pública Valenciana, que regula «Objeto», indique la afirmación INCORRECTA:","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, su incumplimiento carece de efectos jurídicos».","El artículo 1 de la Ley 4/2021 dispone: «De acuerdo con el precepto, el objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».","El artículo 1 de la Ley 4/2021 dispone: «El precepto dispone que el objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal».",B,"La opción incorrecta altera el contenido del artículo 1; la previsión de referencia es «El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.».","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal.","El objeto de la presente ley es la ordenación y regulación de la función pública valenciana, así como de sus instrumentos de gestión y la determinación del régimen jurídico del personal incluido en su ámbito de aplicación, con el alcance que en cada caso se establece, en el ejercicio de las competencias atribuidas por la Constitución Española y por el Estatut d’Autonomia de la Comunitat Valenciana, en el marco de la legislación básica estatal. Además, su incumplimiento carece de efectos jurídicos.",tres_previsiones_reales_y_una_mutación,7,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 06/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-2021-8880,2026-07-14
