question_id,article,paragraph,chapter,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-TI-10-001,10,1,Título I: disposiciones generales iniciales,3,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 10 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 1?","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto al reglamento y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a una ley orgánica y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto al Gobierno y a los derechos de los demás son fundamento del orden político y de la paz social.",A,La opción correcta reproduce un fragmento del apartado 1 del artículo 10.,"La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social.",sustitución del instrumento o reserva legal,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,contracción_a_el,
CE-TI-10-002,10,1,Título I: disposiciones generales iniciales,2,localización_normativa,seleccionar_correcta,"¿En qué artículo del Título I se contiene la regla según la cual «La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad…»?",Artículo 11,Artículo 10,Artículo 12,Artículo 13,B,El fragmento pertenece al artículo 10 de la Constitución Española.,"La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad…",localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-003,10,2,Título I: disposiciones generales iniciales,3,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el tenor literal del artículo 10 de la Constitución Española, ¿cuál de las siguientes formulaciones se ajusta al apartado 2?",Las normas relativas a los derechos fundamentales o a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución no reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,"Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España, previa autorización judicial.",C,La opción correcta reproduce un fragmento del apartado 2 del artículo 10.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,alteración del contenido o alcance de un derecho,3,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-004,10,2,Título I: disposiciones generales iniciales,2,localización_normativa,seleccionar_correcta,¿En qué artículo del Título I se contiene la regla según la cual «Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de…»?,Artículo 11,Artículo 12,Artículo 13,Artículo 10,D,El fragmento pertenece al artículo 10 de la Constitución Española.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de…,localización de un fragmento normativo,0,96,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-005,10,,Título I: disposiciones generales iniciales,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 10 de la Constitución Española?,"La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto al reglamento y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a una ley orgánica y a los derechos de los demás son fundamento del orden político y de la paz social.","La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto al Gobierno y a los derechos de los demás son fundamento del orden político y de la paz social.",A,La opción correcta coincide con el texto del artículo 10; las restantes alteran un elemento jurídico relevante.,"La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social.",sustitución del instrumento o reserva legal,1,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS_REPAIRED,contracción_a_el,
CE-TI-10-006,10,,Título I: disposiciones generales iniciales,2,literal_con_hueco,seleccionar_correcta,¿Cuál de las siguientes expresiones aparece en el tenor literal del artículo 10 de la Constitución Española?,los derechos inviolables que le no son inherentes,los derechos inviolables que le son inherentes,"los derechos inviolables que le son inherentes, previa autorización judicial.","los derechos inviolables que le son inherentes, salvo disposición legal en contrario.",B,«los derechos inviolables que le son inherentes» es la expresión empleada por el artículo 10.,"La dignidad de la persona, los derechos inviolables que le son inherentes, el libre desarrollo de la personalidad, el respeto a la ley y a los derechos de los demás son fundamento del orden político y de la paz social.",sustitución de una expresión literal,5,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-007,10,,Título I: disposiciones generales iniciales,3,verdadera_falsa_en_artículo,seleccionar_correcta,¿Cuál de las siguientes opciones reproduce correctamente un fragmento del artículo 10 de la Constitución Española?,Las normas relativas a los derechos fundamentales o a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución no reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,"Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España, previa autorización judicial.",C,La opción correcta coincide con el texto del artículo 10; las restantes alteran un elemento jurídico relevante.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,alteración del contenido o alcance de un derecho,3,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-008,10,,Título I: disposiciones generales iniciales,2,literal_con_hueco,seleccionar_correcta,¿Cuál de las siguientes expresiones aparece en el tenor literal del artículo 10 de la Constitución Española?,"y acuerdos internacionales sobre las mismas materias ratificados por España, previa autorización judicial.","y acuerdos internacionales sobre las mismas materias ratificados por España, salvo disposición legal en contrario.","y acuerdos internacionales sobre las mismas materias ratificados por España, exclusivamente para los ciudadanos españoles.",y acuerdos internacionales sobre las mismas materias ratificados por España,D,«y acuerdos internacionales sobre las mismas materias ratificados por España» es la expresión empleada por el artículo 10.,Las normas relativas a los derechos fundamentales y a las libertades que la Constitución reconoce se interpretarán de conformidad con la Declaración Universal de Derechos Humanos y los tratados y acuerdos internacionales sobre las mismas materias ratificados por España.,sustitución de una expresión literal,5,95,distractor_genérico,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-009,10,,Título I: disposiciones generales iniciales,1,localización_normativa,seleccionar_correcta,¿En qué parte del Título I se encuentra el artículo 10 de la Constitución Española?,Título I: disposiciones generales iniciales,"Capítulo segundo, Sección 1.ª: De los derechos fundamentales y de las libertades públicas",Capítulo cuarto: De las garantías de las libertades y derechos fundamentales,Capítulo segundo: Derechos y libertades (fuera de sus secciones),A,El artículo 10 se encuentra en «Título I: disposiciones generales iniciales».,Título I: disposiciones generales iniciales,localización sistemática dentro del Título I,8,93,posible_pista_de_longitud,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TI-10-010,10,,Título I: disposiciones generales iniciales,3,pertenencia_lista,seleccionar_incorrecta,"Atendiendo al tenor literal del artículo 10, señale la expresión que NO pertenece a su contenido:",La dignidad de la persona,Humanos o los tratados y acuerdos internacionales sobre las mismas…,los derechos inviolables que le son inherentes,el libre desarrollo de la personalidad,B,La expresión incorrecta no forma parte del artículo 10; las restantes son fragmentos de su texto.,La dignidad de la persona; los derechos inviolables que le son inherentes; el libre desarrollo de la personalidad,tres elementos literales y uno ajeno,5,97,,AUTO_PASS,pendiente_muestreo_humano,Texto consolidado actualizado a 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
