question_id,norm_code,norm_title,title,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,editorial_audit_status,editorial_rule_version,review_status,source_version,source_url,source_retrieved_at
EACV-TII-001,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,2,condición_personal,seleccionar_correcta,"Según el artículo 8 del Estatuto de Autonomía de la Comunitat Valenciana, ¿en qué doble condición son titulares de derechos, deberes y libertades los valencianos y valencianas?",Españoles y europeos.,Valencianos y mediterráneos.,Españoles y exclusivamente autonómicos.,Europeos y latinoamericanos.,A,El artículo 8.1 establece: «en su condición de ciudadanos españoles y europeos».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-002,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,literal_con_hueco,seleccionar_correcta,El artículo 8.1 reconoce a los valencianos y valencianas como ciudadanos:,Europeos y latinoamericanos.,Españoles y europeos.,Españoles y exclusivamente autonómicos.,Valencianos y mediterráneos.,B,La formulación correcta se apoya en el inciso: «en su condición de ciudadanos españoles y europeos».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-003,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 8 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",Los valencianos y valencianas son titulares de derechos en su condición de ciudadanos españoles y europeos.,"La Constitución Española es una de las fuentes de derechos, deberes y libertades citadas por el artículo 8.1.",Los valencianos y valencianas son titulares de derechos únicamente en su condición de ciudadanos autonómicos.,El ordenamiento de la Unión Europea es una de las fuentes de derechos citadas en el artículo 8.1.,C,La opción incorrecta altera la regla «en su condición de ciudadanos españoles y europeos».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",tres_afirmaciones_completas_válidas_y_una_alterada,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-004,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 8 del Estatuto se establece que los valencianos y valencianas son titulares de derechos en su condición de ciudadanos españoles y europeos?,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 8, apartado 1.","Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-005,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,2,fuente_normativa,seleccionar_correcta,"Según el artículo 8 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué norma estatal se menciona como fuente de derechos, deberes y libertades?",La Constitución Española.,El Código Civil exclusivamente.,La Ley de Les Corts sobre ciudadanía.,El Reglamento de la Generalitat.,A,El artículo 8.1 establece: «reconocidos en la Constitución Española».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",pregunta_directa_con_sustitución_controlada,4,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-006,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,literal_con_hueco,seleccionar_correcta,Entre las fuentes de derechos citadas por el artículo 8.1 se encuentra:,El Reglamento de la Generalitat.,La Constitución Española.,La Ley de Les Corts sobre ciudadanía.,El Código Civil exclusivamente.,B,La formulación correcta se apoya en el inciso: «reconocidos en la Constitución Española».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",recuperación_literal_o_conceptual,4,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-007,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 8 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:","La Constitución Española es una de las fuentes de derechos, deberes y libertades citadas por el artículo 8.1.",El ordenamiento de la Unión Europea es una de las fuentes de derechos citadas en el artículo 8.1.,El Reglamento de la Generalitat sustituye a la Constitución como fuente de derechos fundamentales.,La Declaración Universal de Derechos Humanos aparece expresamente citada en el artículo 8.1.,C,La opción incorrecta altera la regla «reconocidos en la Constitución Española».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",tres_afirmaciones_completas_válidas_y_una_alterada,5,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-008,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,localización_normativa,seleccionar_correcta,"¿En qué apartado del artículo 8 del Estatuto se establece que la Constitución Española es una de las fuentes de derechos, deberes y libertades citadas por el artículo 8.1?",Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 8, apartado 1.","Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-009,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,2,fuente_normativa,seleccionar_correcta,"Según el artículo 8 del Estatuto de Autonomía de la Comunitat Valenciana, ¿qué ordenamiento supranacional se cita expresamente como fuente de derechos?",De la Unión Europea.,Del Consejo de Europa exclusivamente.,De las Naciones Unidas únicamente.,De la Comunitat Valenciana.,A,El artículo 8.1 establece: «en el ordenamiento de la Unión Europea».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TII-010,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO II. De los derechos de los valencianos y valencianas,8,1,3,literal_con_hueco,seleccionar_correcta,El artículo 8.1 menciona expresamente el ordenamiento:,De la Comunitat Valenciana.,De la Unión Europea.,De las Naciones Unidas únicamente.,Del Consejo de Europa exclusivamente.,B,La formulación correcta se apoya en el inciso: «en el ordenamiento de la Unión Europea».,"Los valencianos y valencianas, en su condición de ciudadanos españoles y europeos, son titulares de los derechos, deberes y libertades reconocidos en la Constitución Española y en el ordenamiento de la Unión Europea y en los instrumentos internacionales de protección de los derechos humanos, individuales y colectivos, en particular, en la Declaración Universal de Derechos Humanos; en los Pactos Internacionales de Derechos Civiles y Políticos y de Derechos Económicos, Sociales y Culturales; en la Convención Europea de Derechos del Hombre y Libertades Fundamentales, y en la Carta Social Europea.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; Título II vigente desde el 11/04/2006; texto consolidado consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
