question_id,article,paragraph,article_title,chapter,section,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,self_contained,grammatical_parallelism,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at
LRJSP-CI-II-0001,1,único,Objeto,Capítulo I · Disposiciones generales,,1,identificación_del_precepto,seleccionar_correcta,"Según el artículo 1 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿cuál de las siguientes afirmaciones reproduce una regla del precepto?",La Ley establece y regula las bases del régimen jurídico de las Administraciones Públicas.,No la Ley establece y regula las bases del régimen jurídico de las Administraciones Públicas.,Las Administraciones Públicas deben respetar la eficacia en el cumplimiento de los objetivos fijados.,Las Administraciones Públicas deben respetar el principio de servicio efectivo a los ciudadanos.,A,La opción correcta reproduce la regla del artículo 1: «La Ley establece y regula las bases del régimen jurídico de las Administraciones Públicas.»,La Ley establece y regula las bases del régimen jurídico de las Administraciones Públicas.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0002,1,único,Objeto,Capítulo I · Disposiciones generales,,2,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 1 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, señale la afirmación que se ajusta al contenido del precepto:",No la Ley establece y regula los principios del sistema de responsabilidad de las Administraciones Públicas.,La Ley establece y regula los principios del sistema de responsabilidad de las Administraciones Públicas.,"Las Administraciones Públicas deben respetar los principios de simplicidad, claridad y proximidad a los ciudadanos.",Las Administraciones Públicas deben respetar el principio de responsabilidad por la gestión pública.,B,La opción correcta reproduce la regla del artículo 1: «La Ley establece y regula los principios del sistema de responsabilidad de las Administraciones Públicas.»,La Ley establece y regula los principios del sistema de responsabilidad de las Administraciones Públicas.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,3,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0003,1,único,Objeto,Capítulo I · Disposiciones generales,,2,identificación_del_precepto,seleccionar_correcta,"Conforme al artículo 1 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿qué afirmación es correcta?",No la Ley establece y regula los principios de la potestad sancionadora.,"Las Administraciones Públicas deben respetar los principios de simplicidad, claridad y proximidad a los ciudadanos.",La Ley establece y regula los principios de la potestad sancionadora.,"Las Administraciones Públicas deben respetar los principios de buena fe, confianza legítima y lealtad institucional.",C,La opción correcta reproduce la regla del artículo 1: «La Ley establece y regula los principios de la potestad sancionadora.»,La Ley establece y regula los principios de la potestad sancionadora.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,4,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0004,1,único,Objeto,Capítulo I · Disposiciones generales,,2,identificación_del_precepto,seleccionar_correcta,"Atendiendo al tenor del artículo 1 de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, seleccione la opción correcta:",No la Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,"Tienen la consideración de Administraciones Públicas la Administración General del Estado, las Administraciones autonómicas, las entidades locales y los organismos públicos y entidades de derecho público del artículo 2.2.a).",La Ley se aplica a la Administración General del Estado.,La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,D,La opción correcta reproduce la regla del artículo 1: «La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.»,La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,19,94,brecha_longitud_alta,AUTO_PASS_WITH_FLAGS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0005,2,1.a,Ámbito subjetivo,Capítulo I · Disposiciones generales,,1,identificación_del_precepto,seleccionar_correcta,"Según el artículo 2.1.a de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿cuál de las siguientes afirmaciones reproduce una regla del precepto?",La Ley se aplica a la Administración General del Estado.,No la Ley se aplica a la Administración General del Estado.,La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,La Administración debe justificar la adecuación de la medida para alcanzar los fines perseguidos.,A,La opción correcta reproduce la regla del artículo 2.1.a: «La Ley se aplica a la Administración General del Estado.»,La Ley se aplica a la Administración General del Estado.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,16,95,brecha_longitud_media,AUTO_PASS_WITH_FLAGS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0006,2,1.b,Ámbito subjetivo,Capítulo I · Disposiciones generales,,1,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 2.1.b de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, señale la afirmación que se ajusta al contenido del precepto:",No la Ley se aplica a las Administraciones de las Comunidades Autónomas.,La Ley se aplica a las Administraciones de las Comunidades Autónomas.,La Ley establece y regula los principios de la potestad sancionadora.,"Las Administraciones Públicas deben respetar la cooperación, colaboración y coordinación entre ellas.",B,La opción correcta reproduce la regla del artículo 2.1.b: «La Ley se aplica a las Administraciones de las Comunidades Autónomas.»,La Ley se aplica a las Administraciones de las Comunidades Autónomas.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,1,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0007,2,1.c,Ámbito subjetivo,Capítulo I · Disposiciones generales,,1,identificación_del_precepto,seleccionar_correcta,"Conforme al artículo 2.1.c de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿qué afirmación es correcta?",No la Ley se aplica a las entidades que integran la Administración Local.,La Administración debe justificar la adecuación de la medida para alcanzar los fines perseguidos.,La Ley se aplica a las entidades que integran la Administración Local.,Cada Administración Pública actúa para el cumplimiento de sus fines con personalidad jurídica única.,C,La opción correcta reproduce la regla del artículo 2.1.c: «La Ley se aplica a las entidades que integran la Administración Local.»,La Ley se aplica a las entidades que integran la Administración Local.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,2,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0008,2,1.d,Ámbito subjetivo,Capítulo I · Disposiciones generales,,1,identificación_del_precepto,seleccionar_correcta,"Atendiendo al tenor del artículo 2.1.d de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, seleccione la opción correcta:",No la Ley se aplica al sector público institucional.,La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,La necesidad de una medida limitativa debe motivarse por la protección del interés público.,La Ley se aplica al sector público institucional.,D,La opción correcta reproduce la regla del artículo 2.1.d: «La Ley se aplica al sector público institucional.»,La Ley se aplica al sector público institucional.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,18,94,brecha_longitud_alta,AUTO_PASS_WITH_FLAGS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0009,2,2.a,Ámbito subjetivo,Capítulo I · Disposiciones generales,,2,identificación_del_precepto,seleccionar_correcta,"Según el artículo 2.2.a de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, ¿cuál de las siguientes afirmaciones reproduce una regla del precepto?",El sector público institucional integra cualesquiera organismos públicos y entidades de derecho público vinculados o dependientes de las Administraciones Públicas.,No es correcto afirmar que el sector público institucional integra cualesquiera organismos públicos y entidades de derecho público vinculados o dependientes de las Administraciones Públicas.,Los órganos administrativos pueden delegar competencias en organismos públicos o entidades de derecho público vinculados o dependientes.,Las Administraciones Públicas se relacionan entre sí y con sus órganos y entidades vinculadas o dependientes a través de medios electrónicos.,A,La opción correcta reproduce la regla del artículo 2.2.a: «El sector público institucional integra cualesquiera organismos públicos y entidades de derecho público vinculados o dependientes de las Administraciones Públicas.»,El sector público institucional integra cualesquiera organismos públicos y entidades de derecho público vinculados o dependientes de las Administraciones Públicas.,regla_real_más_mutación_y_reglas_próximas,PASS,PASS,8,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
LRJSP-CI-II-0010,2,2.b,Ámbito subjetivo,Capítulo I · Disposiciones generales,,3,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 2.2.b de la Ley 40/2015, de 1 de octubre, de Régimen Jurídico del Sector Público, señale la afirmación que se ajusta al contenido del precepto:","No las entidades de derecho privado vinculadas o dependientes quedan sujetas a las normas de la Ley que específicamente se refieran a ellas y, en todo caso, cuando ejerzan potestades administrativas.","Las entidades de derecho privado vinculadas o dependientes quedan sujetas a las normas de la Ley que específicamente se refieran a ellas y, en todo caso, cuando ejerzan potestades administrativas.",Las Administraciones Públicas se relacionan entre sí y con sus órganos y entidades vinculadas o dependientes a través de medios electrónicos.,La Ley regula la organización y el funcionamiento de la Administración General del Estado y de su sector público institucional para el desarrollo de sus actividades.,B,"La opción correcta reproduce la regla del artículo 2.2.b: «Las entidades de derecho privado vinculadas o dependientes quedan sujetas a las normas de la Ley que específicamente se refieran a ellas y, en todo caso, cuando ejerzan potestades administrativas.»","Las entidades de derecho privado vinculadas o dependientes quedan sujetas a las normas de la Ley que específicamente se refieran a ellas y, en todo caso, cuando ejerzan potestades administrativas.",regla_real_más_mutación_y_reglas_próximas,PASS,PASS,10,100,,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado del BOE; última actualización publicada el 02/08/2024,https://www.boe.es/buscar/act.php?id=BOE-A-2015-10566,2026-07-14
