question_id,article,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,verification_status,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-1-9-001,1,1,literal_con_hueco,seleccionar_correcta,España se constituye en un Estado:,Social y democrático de Derecho.,Social y parlamentario de Derecho.,Democrático y autonómico de Derecho.,"Social, federal y democrático.",A,Es la fórmula literal del artículo 1.1.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-002,1,2,pertenencia_lista,seleccionar_correcta,¿Cuál es la enumeración completa de valores superiores del ordenamiento jurídico del artículo 1.1?,"Libertad, seguridad, igualdad y pluralismo social.","Libertad, justicia, igualdad y pluralismo político.","Justicia, legalidad, solidaridad y participación política.","Libertad, justicia, democracia y soberanía nacional.",B,Reproduce los cuatro valores del artículo 1.1.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-003,1,2,pertenencia_lista,seleccionar_correcta,¿Cuál de los siguientes es un valor superior expresamente mencionado en el artículo 1.1?,La seguridad jurídica.,La solidaridad territorial.,El pluralismo político.,La participación ciudadana.,C,El pluralismo político integra la enumeración.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-004,1,2,pertenencia_lista,seleccionar_incorrecta,¿Cuál de los siguientes NO es un valor superior expresamente mencionado en el artículo 1.1?,La libertad.,La justicia.,La igualdad.,La solidaridad.,D,La solidaridad no aparece en esa lista.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",pertenencia_lista,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-005,1,1,sujeto_órgano,seleccionar_correcta,¿Dónde reside la soberanía nacional?,En el pueblo español.,En las Cortes Generales.,En la Nación española.,En el conjunto de los poderes públicos.,A,El artículo 1.2 atribuye la soberanía nacional al pueblo español.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",sujeto_órgano,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-006,1,2,consecuencia_jurídica,seleccionar_correcta,"Según el artículo 1.2, del pueblo español emanan:",Los órganos constitucionales.,Los poderes del Estado.,Las Cortes Generales.,Los poderes públicos y territoriales.,B,La consecuencia literal es que de él emanan los poderes del Estado.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",consecuencia_jurídica,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-007,1,1,literal_con_hueco,seleccionar_correcta,La forma política del Estado español es:,La Monarquía constitucional.,La democracia parlamentaria.,La Monarquía parlamentaria.,El Estado autonómico.,C,Es el tenor literal del artículo 1.3.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-008,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 1, señale la afirmación INCORRECTA:",España se constituye en un Estado social y democrático de Derecho.,La soberanía nacional reside en el pueblo español.,La igualdad es un valor superior del ordenamiento jurídico.,La forma política del Estado español es la Monarquía constitucional.,D,El artículo utiliza «Monarquía parlamentaria».,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",verdadera_falsa_en_artículo,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-009,1,2,literal_con_hueco,seleccionar_correcta,Complete el artículo 1.1: «España se constituye en un Estado...»,Social y democrático de Derecho.,Social y representativo de Derecho.,Democrático y descentralizado de Derecho.,Social y constitucional de Derecho.,A,Completa literalmente el inicio del artículo.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-010,1,3,literal_con_hueco,seleccionar_correcta,"Complete la enumeración del artículo 1.1: «la libertad, la justicia, la igualdad y...»",La solidaridad social.,El pluralismo político.,La seguridad jurídica.,La participación política.,B,El cuarto valor es el pluralismo político.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-1-9-011,1,2,literal_con_hueco,seleccionar_correcta,Complete el artículo 1.2: «La soberanía nacional reside...»,En las Cortes Generales.,En la Nación española.,En el pueblo español.,En los ciudadanos españoles.,C,El titular literal es el pueblo español.,"España se constituye en un Estado social y democrático de Derecho... libertad, justicia, igualdad y pluralismo político; la soberanía nacional reside en el pueblo español; la forma política es la Monarquía parlamentaria.",literal_con_hueco,PASS,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
