question_id,norm_code,norm_title,title,chapter,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,editorial_audit_status,verification_status,review_status,source_version,source_url,source_retrieved_at
EACV-TIV-001,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,pertenencia_lista,seleccionar_correcta,"Según el artículo 49 del Estatuto, ¿cuál de las siguientes materias figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat?","Organización de sus instituciones de autogobierno, en el marco del Estatuto","Régimen jurídico y sistema de responsabilidad de la Administración de la Generalitat y de sus entes públicos, así como el régimen estatutario de sus funcionarios","Expropiación forzosa, contratos y concesiones administrativas en el ámbito de competencias de la Generalitat","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general",A,"El artículo 49 establece: «Organización de sus instituciones de autogobierno, en el marco del Estatuto».","Organización de sus instituciones de autogobierno, en el marco del Estatuto",pregunta_directa_con_distractores_homogéneos,14,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-002,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,recuperación_literal,seleccionar_correcta,"En el artículo 49.1 entre las competencias exclusivas de la generalitat, se incluye expresamente:","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general","Organización de sus instituciones de autogobierno, en el marco del Estatuto","Expropiación forzosa, contratos y concesiones administrativas en el ámbito de competencias de la Generalitat","Régimen jurídico y sistema de responsabilidad de la Administración de la Generalitat y de sus entes públicos, así como el régimen estatutario de sus funcionarios",B,"La respuesta correcta se apoya en: «Organización de sus instituciones de autogobierno, en el marco del Estatuto».","Organización de sus instituciones de autogobierno, en el marco del Estatuto",recuperación_literal_o_conceptual,14,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-003,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 49 del Estatuto, señale la afirmación INCORRECTA:","La materia «Conservación, desarrollo y modificación del Derecho civil foral valenciano» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.",La materia «Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.,"La materia «Ordenación del crédito, banca y seguros» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.",La materia «Cultura» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.,C,"La afirmación incorrecta contradice la regla «Organización de sus instituciones de autogobierno, en el marco del Estatuto».","Organización de sus instituciones de autogobierno, en el marco del Estatuto",tres_afirmaciones_completas_y_una_alterada,23,96,brecha_longitud_alta,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-004,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,localización_normativa,seleccionar_correcta,"¿En qué artículo del Estatuto se establece que la materia «Organización de sus instituciones de autogobierno, en el marco del Estatuto» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.",Artículo 54.,Artículo 55.,Artículo 56.,Artículo 49.,D,La regla pertenece al artículo 49 del Estatuto.,"Organización de sus instituciones de autogobierno, en el marco del Estatuto",localización_de_precepto,0,99,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-005,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,pertenencia_lista,seleccionar_correcta,"Según el artículo 49 del Estatuto, ¿cuál de las siguientes materias figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat?","Conservación, desarrollo y modificación del Derecho civil foral valenciano","Expropiación forzosa, contratos y concesiones administrativas en el ámbito de competencias de la Generalitat","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general","Ordenación del crédito, banca y seguros",A,"El artículo 49 establece: «Conservación, desarrollo y modificación del Derecho civil foral valenciano».","Conservación, desarrollo y modificación del Derecho civil foral valenciano",pregunta_directa_con_distractores_homogéneos,18,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-006,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,recuperación_literal,seleccionar_correcta,"En el artículo 49.1 entre las competencias exclusivas de la generalitat, se incluye expresamente:","Ordenación del crédito, banca y seguros","Conservación, desarrollo y modificación del Derecho civil foral valenciano","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general","Expropiación forzosa, contratos y concesiones administrativas en el ámbito de competencias de la Generalitat",B,"La respuesta correcta se apoya en: «Conservación, desarrollo y modificación del Derecho civil foral valenciano».","Conservación, desarrollo y modificación del Derecho civil foral valenciano",recuperación_literal_o_conceptual,18,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-007,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 49 del Estatuto, señale la afirmación INCORRECTA:",La materia «Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.,La materia «Cultura» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.,La materia «Régimen minero y energético» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.,"La materia «Patrimonio histórico, artístico, monumental, arquitectónico, arqueológico y científico» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.",C,"La afirmación incorrecta contradice la regla «Conservación, desarrollo y modificación del Derecho civil foral valenciano».","Conservación, desarrollo y modificación del Derecho civil foral valenciano",tres_afirmaciones_completas_y_una_alterada,23,96,brecha_longitud_alta,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-008,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,localización_normativa,seleccionar_correcta,"¿En qué artículo del Estatuto se establece que la materia «Conservación, desarrollo y modificación del Derecho civil foral valenciano» figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat.",Artículo 54.,Artículo 55.,Artículo 56.,Artículo 49.,D,La regla pertenece al artículo 49 del Estatuto.,"Conservación, desarrollo y modificación del Derecho civil foral valenciano",localización_de_precepto,0,99,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-009,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,pertenencia_lista,seleccionar_correcta,"Según el artículo 49 del Estatuto, ¿cuál de las siguientes materias figura en el artículo 49.1 entre las competencias exclusivas de la Generalitat?",Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat,"Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general","Ordenación del crédito, banca y seguros",Régimen minero y energético,A,El artículo 49 establece: «Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat».,Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat,pregunta_directa_con_distractores_homogéneos,20,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TIV-010,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO IV. Las Competencias,Título IV. Las Competencias,49,1,3,recuperación_literal,seleccionar_correcta,"En el artículo 49.1 entre las competencias exclusivas de la generalitat, se incluye expresamente:",Régimen minero y energético,Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat,"Ordenación del crédito, banca y seguros","Reserva al sector público de recursos o servicios esenciales, especialmente en caso de monopolio, e intervención de empresas cuando lo exija el interés general",B,La respuesta correcta se apoya en: «Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat».,Normas procesales y de procedimiento administrativo derivadas de las particularidades del Derecho sustantivo valenciano o de las especialidades de la organización de la Generalitat,recuperación_literal_o_conceptual,20,98,brecha_longitud_media,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; artículo 52.4 vigente desde el 13/03/2019; consultado el 14/07/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
