question_id,article,paragraph,title,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,review_status,source_version,source_url,source_retrieved_at,editorial_audit_version,editorial_audit_date,editorial_audit_status,editorial_changes,editorial_blockers
CE-TIV-001,97,1,Título IV. Del Gobierno y de la Administración,2,pertenencia_lista,seleccionar_correcta,¿Cuál de las siguientes opciones aparece expresamente en el artículo 97 de la Constitución al regular las funciones y ámbitos del Gobierno?,la política interior,la función legislativa,la potestad jurisdiccional,la dirección del Poder Judicial,A,«la política interior» aparece expresamente en el artículo 97.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",una_verdadera_y_tres_elementos_ajenos,2,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-002,97,1,Título IV. Del Gobierno y de la Administración,2,pertenencia_lista,seleccionar_correcta,¿Cuál de las siguientes opciones aparece expresamente en el artículo 97 de la Constitución al regular las funciones y ámbitos del Gobierno?,la potestad jurisdiccional,la política exterior,la dirección del Poder Judicial,la aprobación de leyes orgánicas,B,«la política exterior» aparece expresamente en el artículo 97.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",una_verdadera_y_tres_elementos_ajenos,2,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-003,97,1,Título IV. Del Gobierno y de la Administración,2,pertenencia_lista,seleccionar_correcta,¿Cuál de las siguientes opciones aparece expresamente en el artículo 97 de la Constitución al regular las funciones y ámbitos del Gobierno?,la dirección del Poder Judicial,la aprobación de leyes orgánicas,la Administración civil,el control de constitucionalidad,C,«la Administración civil» aparece expresamente en el artículo 97.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",una_verdadera_y_tres_elementos_ajenos,2,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-004,97,1,Título IV. Del Gobierno y de la Administración,2,pertenencia_lista,seleccionar_correcta,¿Cuál de las siguientes opciones aparece expresamente en el artículo 97 de la Constitución al regular las funciones y ámbitos del Gobierno?,la aprobación de leyes orgánicas,el control de constitucionalidad,la potestad tributaria originaria,la Administración militar,D,«la Administración militar» aparece expresamente en el artículo 97.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",una_verdadera_y_tres_elementos_ajenos,2,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-005,97,1,Título IV. Del Gobierno y de la Administración,3,pertenencia_lista,seleccionar_incorrecta,¿Cuál de las siguientes opciones NO aparece expresamente en el artículo 97 al regular las funciones y ámbitos del Gobierno?,el control de constitucionalidad,la política interior,la política exterior,la Administración civil,A,«el control de constitucionalidad» no aparece expresamente en el artículo 97; las otras opciones sí.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",tres_elementos_reales_y_un_intruso,1,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-006,97,1,Título IV. Del Gobierno y de la Administración,3,pertenencia_lista,seleccionar_incorrecta,¿Cuál de las siguientes opciones NO aparece expresamente en el artículo 97 al regular las funciones y ámbitos del Gobierno?,la política exterior,la potestad tributaria originaria,la Administración civil,la Administración militar,B,«la potestad tributaria originaria» no aparece expresamente en el artículo 97; las otras opciones sí.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",tres_elementos_reales_y_un_intruso,1,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-007,97,1,Título IV. Del Gobierno y de la Administración,3,pertenencia_lista,seleccionar_incorrecta,¿Cuál de las siguientes opciones NO aparece expresamente en el artículo 97 al regular las funciones y ámbitos del Gobierno?,la Administración civil,la Administración militar,la función legislativa,la defensa del Estado,C,«la función legislativa» no aparece expresamente en el artículo 97; las otras opciones sí.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",tres_elementos_reales_y_un_intruso,1,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-008,97,1,Título IV. Del Gobierno y de la Administración,3,pertenencia_lista,seleccionar_incorrecta,¿Cuál de las siguientes opciones NO aparece expresamente en el artículo 97 al regular las funciones y ámbitos del Gobierno?,la Administración militar,la defensa del Estado,la función ejecutiva,la potestad jurisdiccional,D,«la potestad jurisdiccional» no aparece expresamente en el artículo 97; las otras opciones sí.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",tres_elementos_reales_y_un_intruso,1,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-009,97,1,Título IV. Del Gobierno y de la Administración,2,sujeto_órgano,seleccionar_correcta,¿Qué órgano dirige la política interior y exterior?,El Gobierno,Las Cortes Generales,El Congreso de los Diputados,El Rey,A,El artículo 97 atribuye esa dirección al Gobierno.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",sustitución_controlada,3,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
CE-TIV-010,97,1,Título IV. Del Gobierno y de la Administración,3,verdadera_falsa_en_artículo,seleccionar_correcta,"Según el artículo 97 de la Constitución, señale la afirmación correcta:",Las Cortes Generales dirige la política interior y exterior.,El Gobierno dirige la política interior y exterior.,El Congreso de los Diputados dirige la política interior y exterior.,El Rey dirige la política interior y exterior.,B,El artículo 97 atribuye esa dirección al Gobierno.,"El Gobierno dirige la política interior y exterior, la Administración civil y militar y la defensa del Estado. Ejerce la función ejecutiva y la potestad reglamentaria de acuerdo con la Constitución y las leyes.",misma_regla_con_un_elemento_sustituido,3,99,,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 20/05/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1978-31229,2026-07-13,CE-EDITORIAL-V2,2026-07-14,PASS,,
