question_id,generation_version,article,paragraph,article_title,chapter,section,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,false_basis,pattern,option_length_gap,quality_score,quality_flags,self_contained,syntactic_parallelism,verification_status,review_status,source_version,source_url,source_retrieved_at
L31PRL-01-752df6bd4b3c25,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,1,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales se regula «Normativa sobre prevención de riesgos laborales»?",La materia se regula en el artículo 1 de la Ley 31/1995.,La materia se regula en el artículo 2 de la Ley 31/1995.,La materia se regula en el artículo 3 de la Ley 31/1995.,La materia se regula en el artículo 4 de la Ley 31/1995.,A,«Normativa sobre prevención de riesgos laborales» es la rúbrica del artículo 1.,Artículo 1. Normativa sobre prevención de riesgos laborales.,,localización_de_artículo,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-a4a6a42a5836b3,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,1,denominación_del_artículo,seleccionar_correcta,"Según la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, ¿cuál es la denominación correcta del artículo 1?",El artículo 1 de la Ley 31/1995 se denomina «Objeto y carácter de la norma».,El artículo 1 de la Ley 31/1995 se denomina «Normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 se denomina «Ambito de aplicación».,El artículo 1 de la Ley 31/1995 se denomina «Definiciones».,B,El artículo 1 se denomina «Normativa sobre prevención de riesgos laborales».,Artículo 1. Normativa sobre prevención de riesgos laborales.,,identificación_de_rúbrica,5,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-f405ada5dd2873,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"De acuerdo con el artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, sobre «Normativa sobre prevención de riesgos laborales», ¿qué afirmación se ajusta al precepto?",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 33/1995 forma parte de la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 36/1995 forma parte de la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1996 forma parte de la normativa sobre prevención de riesgos laborales».,C,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales.».,La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales.,,una_previsión_correcta_y_tres_mutaciones_controladas,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-9979a7d6b78eed,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"Atendiendo al tenor del artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, que regula «Normativa sobre prevención de riesgos laborales», seleccione la opción correcta:",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva. Esta previsión solo se aplica a empresas con cincuenta o más trabajadores».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva. Su cumplimiento tiene carácter voluntario para el empresario».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva. La aplicación de esta regla exige autorización judicial previa en todo caso».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva».,D,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva.».,Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva.,,una_previsión_correcta_y_tres_mutaciones_controladas,12,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-90ad575c8e4ec5,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,literal_con_hueco,seleccionar_correcta,"¿Qué redacción se corresponde con una previsión del artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, relativo a «Normativa sobre prevención de riesgos laborales»?",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. La norma permite excluir su aplicación mediante convenio colectivo».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. Esta previsión solo se aplica a empresas con cincuenta o más trabajadores».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. Su cumplimiento tiene carácter voluntario para el empresario».,A,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales.».,Las normas legales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales.,,una_previsión_correcta_y_tres_mutaciones_controladas,12,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-c62b0a8b9616d7,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"¿Cuál de las siguientes afirmaciones reproduce correctamente el artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, dedicado a «Normativa sobre prevención de riesgos laborales»?",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. Esta obligación puede sustituirse por una compensación económica al trabajador».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. La norma permite excluir su aplicación mediante convenio colectivo».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales. Esta previsión solo se aplica a empresas con cincuenta o más trabajadores».,B,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales.».,Las normas convencionales que contengan prescripciones preventivas en el ámbito laboral integran la normativa sobre prevención de riesgos laborales.,,una_previsión_correcta_y_tres_mutaciones_controladas,12,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-70b8bb7f40443e,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"Conforme a la regulación de «Normativa sobre prevención de riesgos laborales» contenida en el artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, indique la opción correcta:",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral. La medida únicamente puede adoptarse a solicitud de la autoridad laboral».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral. Esta obligación puede sustituirse por una compensación económica al trabajador».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral. La norma permite excluir su aplicación mediante convenio colectivo».,C,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral.».,También integran la normativa preventiva las normas susceptibles de producir medidas preventivas en el ámbito laboral.,,una_previsión_correcta_y_tres_mutaciones_controladas,11,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-c1f289c8808317,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,3,literal_con_hueco,seleccionar_correcta,"Para completar correctamente una regla del artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, sobre «Normativa sobre prevención de riesgos laborales», debe elegirse:","El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito. La aplicación de esta regla exige autorización judicial previa en todo caso».","El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito. La medida únicamente puede adoptarse a solicitud de la autoridad laboral».","El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito. Esta obligación puede sustituirse por una compensación económica al trabajador».","El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito».",D,"La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito.».","La normativa sobre prevención de riesgos laborales está constituida por la presente Ley, sus disposiciones de desarrollo o complementarias y cuantas otras normas, legales o convencionales, contengan prescripciones relativas a la adopción de medidas preventivas en el ámbito laboral o susceptibles de producirlas en dicho ámbito.",,una_previsión_correcta_y_tres_mutaciones_controladas,12,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-4942f43b7066fe,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"El artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales regula «Normativa sobre prevención de riesgos laborales». ¿Cuál de estas afirmaciones coincide con su contenido?",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales. Su cumplimiento tiene carácter voluntario para el empresario».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales. La aplicación de esta regla exige autorización judicial previa en todo caso».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales. La medida únicamente puede adoptarse a solicitud de la autoridad laboral».,A,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales.».,La propia Ley 31/1995 forma parte de la normativa sobre prevención de riesgos laborales.,,una_previsión_correcta_y_tres_mutaciones_controladas,12,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
L31PRL-01-cfe6d5e8b512ae,v1-densidad-25-editorial-contextual,1,,Normativa sobre prevención de riesgos laborales.,"Capítulo I. Objeto, ámbito de aplicación y definiciones",,2,identificación_del_precepto,seleccionar_correcta,"Según el artículo 1 de la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, relativo a «Normativa sobre prevención de riesgos laborales», señale la afirmación correcta:",El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 32/1995 forman parte de la normativa preventiva».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 33/1995 forman parte de la normativa preventiva».,El artículo 1 de la Ley 31/1995 contiene la siguiente previsión: «Las disposiciones de desarrollo o complementarias de la Ley 36/1995 forman parte de la normativa preventiva».,B,La opción correcta reproduce o formula fielmente la previsión del artículo 1: «Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva.».,Las disposiciones de desarrollo o complementarias de la Ley 31/1995 forman parte de la normativa preventiva.,,una_previsión_correcta_y_tres_mutaciones_controladas,0,100,,PASS,PASS,AUTO_PASS,Pendiente de revisión humana,Texto consolidado BOE; última modificación publicada el 09/04/2026,https://www.boe.es/buscar/act.php?id=BOE-A-1995-24292,2026-07-14
