question_id,norm_code,norm_title,block,scope,chapter,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,editorial_audit_status,verification_status,review_status,source_version,source_url,source_pdf_url,source_retrieved_at
L5C-A-01-0001,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,1,único,3,identificación_del_precepto,seleccionar_correcta,"Según el artículo 1 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.","El President de la Generalitat gozará de las siguientes prerrogativas: Que le sean rendidos los honores que, en razón a la dignidad de su cargo, le corresponda, con arreglo a lo que establezcan las normas vigentes en la materia.","Al President de la Generalitat, como más alto representante de la Comunitat Valenciana, le corresponden las siguientes funciones: Fomentar las peculiaridades del pueblo valenciano y solicitar la participación de los valencianos en la vida política, económica, cultural y social.","El President de la Generalitat dirige y coordina las acciones del Consell, sin perjuicio de las atribuciones y responsabilidad de cada Conseller en su gestión; a tal efecto le corresponde: Establecer las directrices generales de la acción del Consell.",A,"La opción correcta reproduce una regla del artículo 1: «El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.».","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.",una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-01-0002,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,1,único,4,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 1, apartado único?","El Presidente de Les Corts, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.","El Consell, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.","El Rey, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.",B,"La formulación correcta mantiene los elementos del texto legal: «El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.».","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.",órgano_plazo_mayoría_o_modalidad_alterados,3,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-01-0003,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,1,único,3,afirmación_incorrecta,seleccionar_incorrecta,"De acuerdo con TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal, señale la afirmación INCORRECTA:","El President de la Generalitat gozará de las siguientes prerrogativas: Que le sean rendidos los honores que, en razón a la dignidad de su cargo, le corresponda, con arreglo a lo que establezcan las normas vigentes en la materia.","El cargo de President de la Generalitat es incompatible con el ejercicio de cualquier otra función pública que no derive del ejercicio de su cargo, excepto la de Diputado de Les Corts; también es incompatible con cualquier actividad profesional o mercantil.","El Presidente de Les Corts, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.","Se procederá nuevamente a la elección del President de la Generalitat de acuerdo con el procedimiento establecido por el presente artículo en los casos de renuncia, dimisión, incapacidad, defunción o pérdida de la cuestión de confianza.",C,"La afirmación incorrecta modifica una regla del artículo 1. El texto correcto es: «El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.».","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.",tres_afirmaciones_verdaderas_y_una_regla_alterada,5,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-01-0004,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,1,único,3,localización_normativa,seleccionar_correcta,"¿En qué artículo de la Ley 5/1983 se establece la siguiente regla? «El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.»",La regla figura en el artículo 2 de la Ley 5/1983.,La regla figura en el artículo 3 de la Ley 5/1983.,La regla figura en el artículo 4 de la Ley 5/1983.,La regla figura en el artículo 1 de la Ley 5/1983.,D,"La regla se encuentra en el artículo 1, apartado único.","El President de la Generalitat, que también lo es del Consell, dirige la acción del Consell, coordina las funciones de éste y ostenta la más alta representación de la Comunitat Valenciana, así como la ordinaria del Estado en ésta.",localización_de_artículo,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0005,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,2,identificación_del_precepto,seleccionar_correcta,"Según el artículo 2 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?",El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,En las mismas efectuará una «Proposición» de su programa de gobierno sin que el mismo sea objeto de debate.,El President de la Generalitat gozará de las siguientes prerrogativas: Utilizar la bandera de la Comunitat Valenciana como guión.,"Asimismo, el President podrá asignarles las funciones de dirección, impulso y coordinación política de aquellas materias que considere oportunas.",A,La opción correcta reproduce una regla del artículo 2: «El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.».,El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0006,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,3,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 2, apartado 1?",El Presidente de Les Corts será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,El Consell será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,El Rey será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,B,La formulación correcta mantiene los elementos del texto legal: «El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.».,El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,órgano_plazo_mayoría_o_modalidad_alterados,3,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0007,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,3,afirmación_incorrecta,seleccionar_incorrecta,"De acuerdo con TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal, señale la afirmación INCORRECTA:",En las mismas efectuará una «Proposición» de su programa de gobierno sin que el mismo sea objeto de debate.,El President de la Generalitat gozará de las siguientes prerrogativas: Utilizar la bandera de la Comunitat Valenciana como guión.,El Presidente de Les Corts será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,El President de la Generalitat cesa por las siguientes causas: En los casos de aprobación de una moción de censura.,C,La afirmación incorrecta modifica una regla del artículo 2. El texto correcto es: «El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.».,El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,tres_afirmaciones_verdaderas_y_una_regla_alterada,1,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0008,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,3,localización_normativa,seleccionar_correcta,¿En qué artículo de la Ley 5/1983 se establece la siguiente regla? «El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.»,La regla figura en el artículo 1 de la Ley 5/1983.,La regla figura en el artículo 3 de la Ley 5/1983.,La regla figura en el artículo 4 de la Ley 5/1983.,La regla figura en el artículo 2 de la Ley 5/1983.,D,"La regla se encuentra en el artículo 2, apartado 1.",El President de la Generalitat será elegido por Les Corts de entre sus miembros y nombrado por el Rey.,localización_de_artículo,0,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0009,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,3,identificación_del_precepto,seleccionar_correcta,"Según el artículo 2 de la Ley 5/1983, ¿cuál de las siguientes afirmaciones se ajusta al precepto?","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.",Las normas que sean consecuencia del ejercicio de la potestad reglamentaria se ajustan a la siguiente jerarquía: Órdenes de las Comisiones Delegadas del Consell.,Dicho nombramiento se publicará en el «Boletín Oficial del Estado» y en el «Diari Oficial de la Comunitat Valenciana» en el plazo de diez días.,El President de la Generalitat cesa por las siguientes causas: Por incompatibilidad declarada por Les Corts y no subsanada en el plazo de diez días.,A,"La opción correcta reproduce una regla del artículo 2: «En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.».","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.",una_regla_del_artículo_y_tres_reglas_de_otros_preceptos,1,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
L5C-A-02-0010,L5-1983-CONSELL,"Ley 5/1983, de 30 de diciembre, del Consell","Bloque A — President, Consell y relaciones con Les Corts","Título I; Título II, capítulos I, II, III y VI; Título III",TÍTULO I · CAPÍTULO I · De la elección y el estatuto personal,2,1,4,literal_con_alteración_controlada,seleccionar_correcta,"¿Qué formulación reproduce correctamente la regla del artículo 2, apartado 1?","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento del Consell.","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de las Cortes Generales.","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de la Diputación Permanente.",B,"La formulación correcta mantiene los elementos del texto legal: «En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.».","En todo momento se atenderá para su elección a lo que regula el Estatut d’Autonomia, la presente Ley y el Reglamento de Les Corts.",órgano_plazo_mayoría_o_modalidad_alterados,2,100,,PASS,AUTO_PASS,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última modificación: 27 de diciembre de 2012,https://www.boe.es/buscar/act.php?id=BOE-A-1984-3460,https://www.boe.es/buscar/pdf/1984/BOE-A-1984-3460-consolidado.pdf,2026-07-14
